Vaccine 5G_unscaled,Vaccine 5G_monthly,isPartial,scale,Vaccine 5G,plandemic_unscaled,plandemic_monthly,isPartial,scale,plandemic,anti mask_unscaled,anti mask_monthly,isPartial,scale,anti mask,Great Reset_unscaled,Great Reset_monthly,isPartial,scale,Great Reset,Bill Gates Vaccine_unscaled,Bill Gates Vaccine_monthly,isPartial,scale,Bill Gates Vaccine
60,27.0,,0.27,16.200000000000003,55,0.0,,0.0,0.0,49,35.0,,0.35,17.15,62,21.0,,0.21,13.02,62,22.0,,0.22,13.64
100,27.0,,0.27,27.0,61,0.0,,0.0,0.0,97,35.0,,0.35,33.949999999999996,51,21.0,,0.21,10.709999999999999,83,22.0,,0.22,18.26
0,16.0,False,0.16,0.0,100,0.0,False,0.0,0.0,54,37.0,False,0.37,19.98,44,20.0,False,0.2,8.8,52,15.0,False,0.15,7.8
24,16.0,,0.16,3.84,0,0.0,,0.0,0.0,62,37.0,,0.37,22.94,60,20.0,,0.2,12.0,69,15.0,,0.15,10.35
24,16.0,,0.16,3.84,44,0.0,,0.0,0.0,54,37.0,,0.37,19.98,76,20.0,,0.2,15.200000000000001,57,15.0,,0.15,8.549999999999999
0,16.0,,0.16,0.0,29,0.0,,0.0,0.0,53,37.0,,0.37,19.61,52,20.0,,0.2,10.4,63,15.0,,0.15,9.45
24,16.0,,0.16,3.84,29,0.0,,0.0,0.0,73,37.0,,0.37,27.009999999999998,45,20.0,,0.2,9.0,51,15.0,,0.15,7.6499999999999995
0,16.0,,0.16,0.0,15,0.0,,0.0,0.0,61,37.0,,0.37,22.57,70,20.0,,0.2,14.0,33,15.0,,0.15,4.95
0,16.0,,0.16,0.0,17,0.0,,0.0,0.0,44,37.0,,0.37,16.28,46,20.0,,0.2,9.200000000000001,50,15.0,,0.15,7.5
54,21.0,False,0.21,11.34,17,0.0,False,0.0,0.0,99,39.0,False,0.39,38.61,91,17.0,False,0.17,15.47,43,14.0,False,0.14,6.0200000000000005
24,21.0,,0.21,5.04,59,0.0,,0.0,0.0,34,39.0,,0.39,13.26,67,17.0,,0.17,11.39,44,14.0,,0.14,6.16
95,21.0,,0.21,19.95,0,0.0,,0.0,0.0,58,39.0,,0.39,22.62,56,17.0,,0.17,9.520000000000001,51,14.0,,0.14,7.140000000000001
23,21.0,,0.21,4.83,58,0.0,,0.0,0.0,91,39.0,,0.39,35.49,51,17.0,,0.17,8.67,38,14.0,,0.14,5.32
24,21.0,,0.21,5.04,60,0.0,,0.0,0.0,74,39.0,,0.39,28.86,49,17.0,,0.17,8.33,78,14.0,,0.14,10.920000000000002
49,21.0,,0.21,10.29,61,0.0,,0.0,0.0,40,39.0,,0.39,15.600000000000001,38,17.0,,0.17,6.460000000000001,73,14.0,,0.14,10.22
0,21.0,,0.21,0.0,50,0.0,,0.0,0.0,66,39.0,,0.39,25.740000000000002,49,17.0,,0.17,8.33,65,14.0,,0.14,9.100000000000001
52,30.0,False,0.3,15.6,64,0.0,False,0.0,0.0,100,34.0,False,0.34,34.0,38,20.0,False,0.2,7.6000000000000005,76,15.0,False,0.15,11.4
79,30.0,,0.3,23.7,37,0.0,,0.0,0.0,48,34.0,,0.34,16.32,47,20.0,,0.2,9.4,53,15.0,,0.15,7.949999999999999
83,30.0,,0.3,24.9,38,0.0,,0.0,0.0,55,34.0,,0.34,18.700000000000003,60,20.0,,0.2,12.0,83,15.0,,0.15,12.45
47,30.0,,0.3,14.1,29,0.0,,0.0,0.0,39,34.0,,0.34,13.260000000000002,75,20.0,,0.2,15.0,51,15.0,,0.15,7.6499999999999995
